fragment	contextually_resolved_file	file_line_count	max_requested_line	status
:20-27	programs/purpose-vault/src/instructions/open_policy.rs	130	27	IN_RANGE
:28-35	programs/purpose-vault/src/instructions/open_policy.rs	130	35	IN_RANGE
:48	programs/purpose-vault/src/instructions/open_policy.rs	130	48	IN_RANGE
:73-95	programs/purpose-vault/src/instructions/open_policy.rs	130	95	IN_RANGE
:20	programs/beneficiary-vault/src/instructions/deposit.rs	128	20	IN_RANGE
:32	programs/beneficiary-vault/src/instructions/deposit.rs	128	32	IN_RANGE
:56-68	programs/beneficiary-vault/src/instructions/deposit.rs	128	68	IN_RANGE
:1078-1079	programs/purpose-vault/tests/b2_litesvm.rs	2402	1079	IN_RANGE
:62-70	programs/purpose-vault/src/instructions/common.rs	76	70	IN_RANGE
:269-296	spec/PURPOSE_VAULT_B2.md	296	296	IN_RANGE
:1066-1158	programs/purpose-vault/tests/b2_litesvm.rs	2402	1158	IN_RANGE
:1160-1227	programs/purpose-vault/tests/b2_litesvm.rs	2402	1227	IN_RANGE
:199	spec/PURPOSE_VAULT_B2.md	296	199	IN_RANGE
:31	programs/purpose-vault/src/instructions/open_policy.rs	130	31	IN_RANGE
:87-92	programs/purpose-vault/src/lib.rs	118	92	IN_RANGE
:38-40	tests/test_purpose_vault_b2_parity.py	229	40	IN_RANGE
:16	probes/b2_devnet_verify.mjs	82	16	IN_RANGE
:63-83	probes/b2_devnet_verify.mjs	82	83	OUT_OF_RANGE_BY_1
:147-161	probes/r3_full_scale_squads_verify.mjs	229	161	IN_RANGE
:322-323	programs/purpose-vault/examples/r3_full_scale_rpc_probe.rs	839	323	IN_RANGE
:778-780	programs/purpose-vault/examples/r3_full_scale_rpc_probe.rs	839	780	IN_RANGE
:100-129	README.md	441	129	IN_RANGE
:296	spec/PURPOSE_VAULT_B2.md	296	296	IN_RANGE
:34-35	programs/purpose-vault/src/instructions/rotate_oracle.rs	116	35	IN_RANGE
:78-81	programs/purpose-vault/src/instructions/release_purpose.rs	178	81	IN_RANGE
